episode,ep_reward,success,path_length,motion_time
0,-20.000000000000014,0,200,0.01690959930419922
1,-20.000000000000014,0,200,0.015874862670898438
2,-20.000000000000014,0,200,0.015763044357299805
3,-20.000000000000014,0,200,0.01583123207092285
4,-20.000000000000014,0,200,0.015266895294189453
5,-20.000000000000014,0,200,0.015810728073120117
6,-20.000000000000014,0,200,0.01498103141784668
7,99.9,1,1,0.00032210350036621094
8,-218.99999999999926,0,200,0.015954256057739258
9,-219.99999999999926,0,200,0.015579700469970703
10,-20.000000000000014,0,200,0.015481233596801758
11,99.80000000000001,1,2,0.0004413127899169922
12,-20.000000000000014,0,200,0.016109943389892578
13,-20.000000000000014,0,200,0.01514291763305664
14,-20.000000000000014,0,200,0.015982866287231445
15,-219.99999999999926,0,200,0.015194177627563477
16,-219.99999999999926,0,200,0.015607118606567383
17,99.9,1,1,0.00032520294189453125
18,-20.000000000000014,0,200,0.01641106605529785
19,-20.000000000000014,0,200,0.015353202819824219
20,-219.99999999999926,0,200,0.015704870223999023
21,-20.000000000000014,0,200,0.01517796516418457
22,-20.000000000000014,0,200,0.015521049499511719
23,-20.000000000000014,0,200,0.01556706428527832
24,-20.000000000000014,0,200,0.01518392562866211
25,-20.000000000000014,0,200,0.015440940856933594
26,-218.99999999999926,0,200,0.015030860900878906
27,99.7,1,3,0.0005249977111816406
28,-20.000000000000014,0,200,0.015760183334350586
29,-20.000000000000014,0,200,0.014711856842041016
30,-20.000000000000014,0,200,0.015233039855957031
31,-20.000000000000014,0,200,0.015743017196655273
32,-20.000000000000014,0,200,0.015896081924438477
33,-20.000000000000014,0,200,0.015059232711791992
34,-20.000000000000014,0,200,0.01553797721862793
35,-20.000000000000014,0,200,0.015396833419799805
36,-20.000000000000014,0,200,0.01546788215637207
37,-219.99999999999926,0,200,0.01568317413330078
38,-20.000000000000014,0,200,0.015446186065673828
39,-20.000000000000014,0,200,0.01582622528076172
40,-20.000000000000014,0,200,0.015855073928833008
41,-20.000000000000014,0,200,0.01578807830810547
42,99.7,1,3,0.0005269050598144531
43,-20.000000000000014,0,200,0.014904260635375977
44,-20.000000000000014,0,200,0.015346050262451172
45,-20.000000000000014,0,200,0.01592397689819336
46,-218.99999999999926,0,200,0.015513896942138672
47,-20.000000000000014,0,200,0.01570272445678711
48,-20.000000000000014,0,200,0.015256881713867188
49,-20.000000000000014,0,200,0.015570878982543945
